source,ref,field,error_type,message,span,snippet
"PYQ","b2223b29-83b1-45fc-9948-b30385f5757b","question_text","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 80: …\ \$[4x^2-8x+5]$̲, & \text{if } …"," f(x)=\begin{cases} |4x^2-8x+5|, & \text{if } 8x^2-6x+1 \ge  0 \\ \$[4x^2-8x+5]$, & \text{if } 8x^2-6x+1 < 0 \end{cases} ","Let $f(x)=\begin{cases} |4x^2-8x+5|, & \text{if } 8x^2-6x+1 \ge 0 \\ [4x^2-8x+5], & \text{if } 8x^2-6x+1 < 0 \end{cases}$, where $[\alpha]$ denotes the greatest integer less than or equal to $\alpha$."
"PYQ","b271ea6e-f0dd-4b04-9809-d04ae2680deb","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …4 \times  200 }","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …4 \times  200 }","{\text{M}}=\;\frac{20 \times  10^{-3} \times  3.14 \times  200 }","${\text{dM}}=( {\text{dI}}) π {\text{r}}^{2}=( {\text{IdN}}) π {\text{r}}^{2}$ $M=∫↙{i}↖{f} I (\;{N}/{r_{e x}-r_{i}}) d r π r^{2}$ ${\text{M}}=\;{ {\text{I}} π {\text{N}}}/{ {\text{r}}_{ {\text{ex}}}-"
"PYQ","b2c3a799-d819-4c83-ba7d-b0ecf22b4af0","explanation","Expected & or \\ or \cr or \end at end of input: … - {y}_{0} ) \}","KaTeX parse error: Expected & or \\ or \cr or \end at end of input: … - {y}_{0} ) \}","{y}= {mx}+ {c}, \begin{cases}{m}=\frac{{qEd}}{ {mv}_{0}^{2}} \\ ( {d} & - {y}_{0} ) \}","Let particle have charge $q$ and mass 'm'Solve for $( {q}, {m})$ mathematically ${F}_{ {x}}=0, {a}_{ {x}}=0,( {v})_{ {x}}= {\text{constant}}$ time taken to reach at 'P' $={{d}}/{ {v}_{0}}= {t}_{0}( {\"
"PYQ","b2c3a799-d819-4c83-ba7d-b0ecf22b4af0","explanation","Expected '…', got '…'","KaTeX parse error: Expected 'EOF', got '\end' at position 41: …{ {mv}_{0}^{2}}\̲e̲n̲d̲{cases}{d}+ {c}","- {y}_{0}= \frac{- {qEd}}{ {mv}_{0}^{2}}\end{cases}{d}+ {c}","Let particle have charge $q$ and mass 'm'Solve for $( {q}, {m})$ mathematically ${F}_{ {x}}=0, {a}_{ {x}}=0,( {v})_{ {x}}= {\text{constant}}$ time taken to reach at 'P' $={{d}}/{ {v}_{0}}= {t}_{0}( {\"
"PYQ","b2cf1732-e3c2-494b-ae8c-097a3a50bfb0","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 205: …_{x}^{2}\right]$̲&=2 K_{n 1}\lef…"," \begin{aligned} I_{D_{1}}&=I_{D_{2}} \\ K_{n 1}\left[2\left(V_{G S 1}-V_{T}\right) V_{D S 1}-V_{D S 1}^{2}\right]\$\&=K_{n 2}\left(V_{G S 2}-V_{T}\right)^{2} \\ K_{n 1}\left[2(2-1) V_{x}-V_{x}^{2}\right]$&=2 K_{n 1}\left(2-V_{x}-1\right)^{2} \\ 2 V_{x}-V_{x}^{2} &=2\left(1+V_{x}^{2}-2 V_{x}\right) ","$\begin{aligned} \text{Let},\quad K_{n}&=\frac{\mu_{n} C_{o x}}{2}\left(\frac{W}{L}\right)\\ \text{Given that,}\\ \left(\frac{W}{L}\right)_{2} &=2\left(\frac{W}{L}\right)_{1} \\ \text{So,}\quad K_{n 2"
"PYQ","b41cd0b5-1179-441a-95b9-6f5074411d13","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 7: \beta=̲rac{3}{2}","\beta=rac{3}{2}","Applying Vieta's formulas to $14x^2-31x+3\lambda=0$ and $35x^2-53x+4\lambda=0$ gives the relationships $\alpha+\beta=\frac{31}{14}$, $\alpha\beta=\frac{3\lambda}{14}$, $\alpha+\gamma=\frac{53}{35}$, a"
"PYQ","b4889345-0f41-4aaa-8ee7-63722aad48c7","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …{size} = \text{","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …{size} = \text{","\text{size} = \text{","To find the total number of elements in a multidimensional array, we calculate the number of elements in each dimension using the formula $\text{size} = \text{upper\_bound} - \text{lower\_bound} + 1$."
"PYQ","b4889345-0f41-4aaa-8ee7-63722aad48c7","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲ - \text{","} - \text{","To find the total number of elements in a multidimensional array, we calculate the number of elements in each dimension using the formula $\text{size} = \text{upper\_bound} - \text{lower\_bound} + 1$."
"PYQ","b4889345-0f41-4aaa-8ee7-63722aad48c7","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲ + 1","} + 1","To find the total number of elements in a multidimensional array, we calculate the number of elements in each dimension using the formula $\text{size} = \text{upper\_bound} - \text{lower\_bound} + 1$."
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 5: z = ̲rac{3+2i	heta}{…","z = rac{3+2i	heta}{1-3i	heta}","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{3 - 6	heta^…","rac{3 - 6	heta^2}{1+9	heta^2}","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 21: …\cos}^2	heta = ̲rac{1}{2}","	ext{\cos}^2	heta = rac{1}{2}","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 9: 	heta = ̲rac{	ext{\pi}}{…","	heta = rac{	ext{\pi}}{4}","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{	ext{\pi}}{…","rac{	ext{\pi}}{4}","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b10e92-b369-4e86-9917-8eca9da2579f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 13: 	ext{\sin}^2̲rac{3	ext{\pi}}…","	ext{\sin}^2rac{3	ext{\pi}}{4} + 	ext{\cos}^2rac{	ext{\pi}}{4} = rac{1}{2} + rac{1}{2} = 1","The real part of a complex number is determined by multiplying the numerator and denominator by the conjugate of the denominator, effectively clearing the imaginary component from the divisor. Applyin"
"PYQ","b4b2ac89-a7d8-40f1-8c62-2ed06a853637","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 50: … {\text{i}}^{\^}̲}-{ {\text{j}}^…","\;{ {\text{p}}}^{\to }=4 \times ({ {\text{i}}^{\^}}-{ {\text{j}}^{\^}}+{ {\text{k}}^{\^}})","$\;\vec{τ}={ {\text{p}}}↖{→} × { {\text{E}}}↖{→}$ $\;{ {\text{p}}}↖{→}= {\text{q}} \vec{ℓ}$ $\;{ {\text{E}}}↖{→}=0.2 \;{ {\text{V}}}/{ {\text{cm}}}=20 \;{ {\text{V}}}/{ {\text{m}}}$ $\;{ {\text{p}}}↖{"
"PYQ","b4b2ac89-a7d8-40f1-8c62-2ed06a853637","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 23: … {\text{i}}^{\^}̲}-4 { {\text{j}…","\;=(4 { {\text{i}}^{\^}}-4 { {\text{j}}^{\^}}+4 { {\text{k}}^{\^}}) \mu  {\text{C}}- {\text{m}}","$\;\vec{τ}={ {\text{p}}}↖{→} × { {\text{E}}}↖{→}$ $\;{ {\text{p}}}↖{→}= {\text{q}} \vec{ℓ}$ $\;{ {\text{E}}}↖{→}=0.2 \;{ {\text{V}}}/{ {\text{cm}}}=20 \;{ {\text{V}}}/{ {\text{m}}}$ $\;{ {\text{p}}}↖{"
"PYQ","b4b2ac89-a7d8-40f1-8c62-2ed06a853637","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 34: … {\text{i}}^{\^}̲}-4 { {\text{j}…","\;\vec{\tau }=(4 { {\text{i}}^{\^}}-4 { {\text{j}}^{\^}}+4 { {\text{k}}^{\^}}) \times (20 { {\text{i}}^{\^}}) \times  10^{-6} {\text{Nm}}","$\;\vec{τ}={ {\text{p}}}↖{→} × { {\text{E}}}↖{→}$ $\;{ {\text{p}}}↖{→}= {\text{q}} \vec{ℓ}$ $\;{ {\text{E}}}↖{→}=0.2 \;{ {\text{V}}}/{ {\text{cm}}}=20 \;{ {\text{V}}}/{ {\text{m}}}$ $\;{ {\text{p}}}↖{"
"PYQ","b4b2ac89-a7d8-40f1-8c62-2ed06a853637","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 23: … {\text{k}}^{\^}̲}+8 { {\text{j}…","\;=(8 { {\text{k}}^{\^}}+8 { {\text{j}}^{\^}}) \times  10^{-5}=8 {\sqrt{2}} \times  10^{-5}","$\;\vec{τ}={ {\text{p}}}↖{→} × { {\text{E}}}↖{→}$ $\;{ {\text{p}}}↖{→}= {\text{q}} \vec{ℓ}$ $\;{ {\text{E}}}↖{→}=0.2 \;{ {\text{V}}}/{ {\text{cm}}}=20 \;{ {\text{V}}}/{ {\text{m}}}$ $\;{ {\text{p}}}↖{"
"PYQ","b4fc889e-4be2-4b81-b553-df09daafd95c","explanation","Got function '…' with no arguments as argument to '…'","KaTeX parse error: Got function '\hat' with no arguments as argument to '\.' at position 21: …{\hat{v}_{1} \.\̲h̲a̲t̲{v}_{2}}{|\hat{…","\frac{\hat{v}_{1} \.\hat{v}_{2}}{|\hat{v}_{1}||\hat{v}_{2}|}=\frac{\pm 1 / \\sqrt{3}}{(1)(1)}=\pm \frac{1}{\\sqrt{3}}","Direction of $P\;\;\; {v}↖{\^}_{1}=\±{\vec{A} \×\vec{B}}/{|{A} ↖{→}\×\vec{B}|}=\±{{i}↖{\^}-{j}↖{\^}+{k}↖{\^}}/{\\sqrt{3}}$ Direction of ${Q}\;\;\; {{v}↖{\^}}_{2}=\±{{{\vec{A}}} \×{\vec{C}}}/{|{\vec{A}"
"PYQ","b5b7ade4-5955-43ba-bdd0-4c5c0e741580","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 346: …1\&=\frac{1}{2}$̲[(t+1)^2-4(t+1)…"," \begin{aligned} u(t+1)*r(t-1)&=\int_{-\infty  }^{\infty  }r(\tau -2)u(t+1-\tau )d\tau \\ z(t)&=\int_{-\infty  }^{(t+1)}r(\tau -2)d\tau \\ z(t)&=\int_{2}^{(t+1)}r(\tau -2)d\tau \\ \text{For, }(t+1)& \geq 2\\ z(t)&=\left ( \frac{\tau ^2}{2}-2\tau \right )_2^{(t+1)}\\ &=\frac{1}{2}\$[\tau ^2-4\tau ]_2","$\begin{aligned} u(t+1)*r(t-1)&=\int_{-\infty }^{\infty }r(\tau -2)u(t+1-\tau )d\tau \\ z(t)&=\int_{-\infty }^{(t+1)}r(\tau -2)d\tau \\ z(t)&=\int_{2}^{(t+1)}r(\tau -2)d\tau \\ \text{For, }(t+1)& \geq"
"PYQ","b81d0fec-bb07-4f9e-b5aa-8da1bce8c26c","question_text","Undefined control sequence: \in","KaTeX parse error: Undefined control sequence: \in at position 79: …f{Subnet Mask (\̲i̲n̲ ̲CIDR notation)}…"," \begin{array}{|c|c|c|} \hline \textbf{Subnet Address} & \textbf{Subnet Mask (\in CIDR notation)} & \textbf{Interface} \\ \hline 145.36.0.0 & /16 & E1 \\ \hline 145.36.128.0 & /17 & E2 \\ \hline 145.36.64.0 & /18 & E3 \\ \hline 145.36.255.0 & /24 & E4 \\ \hline \text{Default} & -- & E5 \\ \hline \en","A packet with the destination IP address 145.36.109.70 arrives at a router whose routing table is shown. Which interface will the packet be forwarded to? $\begin{array}{|c|c|c|} \hline \textbf{Subnet "
"PYQ","b855f677-fe11-467e-846f-f03f1825aa55","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 10: K_{sp} = $̲[M^{2+}]^3 \$[A…","K_{sp} = $[M^{2+}]^3 \$[A^{3-}]^2 = (3s)^3 \cdot (2s)^2 = 27s^3 \cdot 4s^2 = 108s^5","The dissolution of the sparingly soluble salt $M_3A_2$ reaches an equilibrium represented by the equation $M_3A_2(s) \rightleftharpoons 3M^{2+}(aq) + 2A^{3-}(aq)$. Given the solubility is $x \, \text{"
"PYQ","b855f677-fe11-467e-846f-f03f1825aa55","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 16: \frac{[A^{3-}]}$̲}{K_{sp}} = \fr…","\frac{[A^{3-}]}$}{K_{sp}} = \frac{2s}{108s^5} = \frac{1}{54s^4}","The dissolution of the sparingly soluble salt $M_3A_2$ reaches an equilibrium represented by the equation $M_3A_2(s) \rightleftharpoons 3M^{2+}(aq) + 2A^{3-}(aq)$. Given the solubility is $x \, \text{"
"PYQ","b9edd4cb-ffb8-4122-963f-3db6689f7895","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 2:  }̲/{[ {\text{T}}^…"," }/{[ {\text{T}}^{-1}]","$\; {\text{Y}}=\;{\;\text{ Stress }\;}/{\;\text{ Strain }\;}=\;{ {\text{F}} / {\text{A}}}/{∆ ℓ / ℓ}=\;{ [ {\text{MLT}}^{-2}] }/{ [ {\text{L}}^2] }= [ {\text{ML}}^{-1} {\text{T}}^{-2}]$ $\; {\text{F}}="
"PYQ","ba58b43c-9e9c-42bf-9ae3-ef5ea6811fa1","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{H}^{+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{H}^{+}]}","K_{a_{1}} = \frac{[\mathrm{H}^{+}]}","Because the first acid dissociation constant $K_{a_{1}} = 1.7 \times 10^{-2}$ is significantly larger than the second constant $K_{a_{2}} = 6.4 \times 10^{-8}$, the hydronium ion concentration in a su"
"PYQ","ba9fed11-093d-40e9-b3b1-feddc22e796a","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 481: …0}^{-1} \right]$̲\\&=4\pi \left[…"," \begin{aligned} \int_{-\infty  }^{\infty  }\left | X(\omega ) \right |^{2}d\omega &=2\pi \int_{-\infty  }^{\infty  }\left | x(t) \right |^{2}dt \\ &=2\pi \int_{-\infty  }^{\infty  }\left | y(t) \right |^{2}\\ &=2\times  2\pi \int_{-2}^{0}\left | y(t) \right |^{2}dt\\ &=2\times  2\pi\left[ \int_{-2}","$\begin{aligned} \int_{-\infty }^{\infty }\left | X(\omega ) \right |^{2}d\omega &=2\pi \int_{-\infty }^{\infty }\left | x(t) \right |^{2}dt \\ &=2\pi \int_{-\infty }^{\infty }\left | y(t) \right |^{2"
"PYQ","bb365e20-2b0f-4e91-8b92-43c6da2a6fe3","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 113: …}} \;{˙{i}}^{\^}̲+∫_{0}^{ {\text…","{\text{m}}=1 {\text{kg}}, ∫_{0}^{{ {\text{v}}}^{\to }} {\text{dv}}=∫_{0}^{ {\text{t}}} {\text{tdt}} \;{˙{i}}^{\^}+∫_{0}^{ {\text{t}}} 3 {\text{t}}^2 {dt \;{j }^{\^}}","${ {\text{F}}}↖{→}= {\text{ti}}+3 {\text{t}}^2 \;{ {\text{j}}}↖{\^}$ $\;{ {\text{md}} { {\text{v}}}↖{→}}/{ {\text{dt}}}= {\text{t}} \;{ {\text{i}}}↖{\^}+3 {\text{t}}^2 \;{ {\text{j}}}↖{\^}$ ${\text{m}"
"PYQ","bb8f0e29-192d-448d-8444-a3e9ed93d60f","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 53: …2y - 4) \right]$̲ dy","\int_{0}^{3} \left[ ((y-2)^2 + 1) - (2y - 4) \right]$ dy","To find the area enclosed by the parabola $(y-2)^2=x-1$, its tangent at $(2,3)$, and the $x$-axis, we treat $x$ as a function of $y$ to simplify the integration. The parabola can be expressed as $x = "
"PYQ","bd31f4f8-7c33-42bb-a08d-4b0a83f47279","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 2: [̲rac{1}{8}, rac…","[rac{1}{8}, rac{1}{6}]","The sine function oscillates between -1 and 1, which dictates the bounds for its argument in the denominator. Subtracting $\sin 5x$ from 7 restricts the denominator's values to the closed interval $[6"
"PYQ","bd701816-f6a0-40e8-b76a-a90d0d4fde4c","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 423: …t+30^{\circ}))]$̲\\ \because \; …"," \begin{aligned} &=-\left[ \frac{V_{bn}-V_{cn}}{\sqrt{3}}\frac{V_{cn}-V_{cn}}{\sqrt{3}}\frac{V_{an}-V_{bn}}{\sqrt{3}} \right]\begin{bmatrix} i_a\\ i_b\\ i_c \end{bmatrix}\\ &=-\$[(\sqrt{2}V \sin (\omega t-90^{\circ}))(\sqrt{2}I \sin (\omega t-90^{\circ}))\\ \&+(\sqrt{2}V \sin (\omega t+150^{\circ}))","$R=\begin{bmatrix} V_{an} &V_{bn} &V_{cn} \end{bmatrix}\begin{bmatrix} 0 & \frac{1}{\sqrt{3}} & -\frac{1}{\sqrt{3}}\\ -\frac{1}{\sqrt{3}} & 0 & -\frac{1}{\sqrt{3}}\\ \frac{1}{\sqrt{3}}& -\frac{1}{\sqr"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","question_text","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 15: 0.5086 \text{ \̲m̲u̲ ̲m} ","0.5086 \text{ \mu m} ","Observation of a slip gauge on a flatness interferometer produced fringe counts numbering 10 and 14 for two readings. The second reading is taken by rotating the set-up by $180^\circ$. Assume that bot"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","explanation","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 40: … 0.5086 \text{ \̲m̲u̲ ̲m} "," E = \frac{4}{4} \times  0.5086 \text{ \mu m} ","This problem involves calculating the parallelism error of a slip gauge using fringe counts from a flatness interferometer. The difference in fringe counts observed before and after rotating the setup"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","explanation","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 30: … 0.5086 \text{ \̲m̲u̲ ̲m} "," E = 1 \times  0.5086 \text{ \mu m} ","This problem involves calculating the parallelism error of a slip gauge using fringe counts from a flatness interferometer. The difference in fringe counts observed before and after rotating the setup"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","explanation","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 20: … 0.5086 \text{ \̲m̲u̲ ̲m} "," E = 0.5086 \text{ \mu m} ","This problem involves calculating the parallelism error of a slip gauge using fringe counts from a flatness interferometer. The difference in fringe counts observed before and after rotating the setup"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","explanation","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 15: 0.5086 \text{ \̲m̲u̲ ̲m} ","0.5086 \text{ \mu m} ","This problem involves calculating the parallelism error of a slip gauge using fringe counts from a flatness interferometer. The difference in fringe counts observed before and after rotating the setup"
"PYQ","be6bfbee-a5b2-481d-b915-79f4a669f2e2","explanation","Undefined control sequence: \mu","KaTeX parse error: Undefined control sequence: \mu at position 15: 0.5086 \text{ \̲m̲u̲ ̲m} ","0.5086 \text{ \mu m} ","This problem involves calculating the parallelism error of a slip gauge using fringe counts from a flatness interferometer. The difference in fringe counts observed before and after rotating the setup"
"PYQ","bed5c13f-be69-4849-b3a0-bff6a550ce6e","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 287: …{-1 / 1}\right]$̲=2.528 \mathrm{…"," \begin{aligned} v_{c}(\infty )&=\frac{2}{2+3} \times  10 \\ &=4 \mathrm{V}[\text { By voltage divider }] \\ v_{c}(t)&=4\left[1-e^{-t / \tau}\right]\$ \\ \tau \&=R_{\mathrm{eq}} C=\frac{3 \times  2}{3+2} \times  \frac{5}{6} \\ \&=1 \mathrm{sec} \\ v_{c}(1) \&=4\left[1-e^{-1 / 1}\right]$=2.528 \mathr","$\begin{aligned} & v_{c}\left(0^{-}\right)=0 \mathrm{V} \\ & v_{c}\left(0^{+}\right)=0 \mathrm{V} \end{aligned}$ $\begin{aligned} v_{c}(\infty)&=\frac{2}{2+3} \times 10 \\ &=4 \mathrm{V}[\text { By vo"
"PYQ","bee6c225-f776-4223-bd7d-31e81f3d282f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 5: w = ̲rac{z-	ext{\alp…","w = rac{z-	ext{\alpha}}{z+	ext{\alpha}}","A complex number $w = rac{z-	ext{\alpha}}{z+	ext{\alpha}}$ is purely imaginary if $w + ar{w} = 0$, where $ar{w}$ is the complex conjugate. Setting $rac{z-	ext{\alpha}}{z+	ext{\alpha}} + rac{ar{z"
"PYQ","bee6c225-f776-4223-bd7d-31e81f3d282f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 5: w + ̲ar{w} = 0","w + ar{w} = 0","A complex number $w = rac{z-	ext{\alpha}}{z+	ext{\alpha}}$ is purely imaginary if $w + ar{w} = 0$, where $ar{w}$ is the complex conjugate. Setting $rac{z-	ext{\alpha}}{z+	ext{\alpha}} + rac{ar{z"
"PYQ","bee6c225-f776-4223-bd7d-31e81f3d282f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲ar{w}","ar{w}","A complex number $w = rac{z-	ext{\alpha}}{z+	ext{\alpha}}$ is purely imaginary if $w + ar{w} = 0$, where $ar{w}$ is the complex conjugate. Setting $rac{z-	ext{\alpha}}{z+	ext{\alpha}} + rac{ar{z"
"PYQ","bee6c225-f776-4223-bd7d-31e81f3d282f","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{z-	ext{\alp…","rac{z-	ext{\alpha}}{z+	ext{\alpha}} + rac{ar{z}-	ext{\alpha}}{ar{z}+	ext{\alpha}} = 0","A complex number $w = rac{z-	ext{\alpha}}{z+	ext{\alpha}}$ is purely imaginary if $w + ar{w} = 0$, where $ar{w}$ is the complex conjugate. Setting $rac{z-	ext{\alpha}}{z+	ext{\alpha}} + rac{ar{z"
"PYQ","bf329439-dc91-4be6-8208-43aecf805727","question_text","Unexpected end of input in a macro argument, expected '}' at end of input: A \xrightarrow","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: A \xrightarrow","A \xrightarrow","In the following sequence of reactions a compound A, (molecular formula $\mathrm{C}_6\mathrm{H}_{12}\mathrm{O}_2$ ) with a straight chain structure gives a $\mathrm{C}_4$ carboxylic acid. A is $A \xri"
"PYQ","bf45c910-0b9d-4f15-8599-bfc8887964e1","explanation","Double superscript","KaTeX parse error: Double superscript at position 17: …sum_{r=0}^{25} ^̲{25}C_r","\sum_{r=0}^{25} ^{25}C_r","The summation $S = 1 \cdot ^{25}C_0 + 5 \cdot ^{25}C_1 + 9 \cdot ^{25}C_2 + \dots + 101 \cdot ^{25}C_{25}$ is represented by the general term $(4r + 1) ^{25}C_r$ where $r$ ranges from $0$ to $25$. Thi"
"PYQ","bf45c910-0b9d-4f15-8599-bfc8887964e1","explanation","Double superscript","KaTeX parse error: Double superscript at position 16: \sum_{r=0}^{n} ^̲nC_r = 2^n","\sum_{r=0}^{n} ^nC_r = 2^n","The summation $S = 1 \cdot ^{25}C_0 + 5 \cdot ^{25}C_1 + 9 \cdot ^{25}C_2 + \dots + 101 \cdot ^{25}C_{25}$ is represented by the general term $(4r + 1) ^{25}C_r$ where $r$ ranges from $0$ to $25$. Thi"
"PYQ","c15d9383-c02e-4580-9498-5f6abb9a553d","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 514: …}{4} \pi\right]$̲\right]^{1 / 2}…"," \begin{aligned} &\text { rms value of clipped wave } \\ &\left.=\sqrt{\frac{1}{\pi}\left[2 \int_{0}^{\pi / 4} V_{m}^{2} \sin ^{2} \omega t+\int_{\pi / 4}^{3 \pi / 4}\left(0.707 V_{m}\right)^{2} d \omega t\right.}\right]\$ \\ \&= \sqrt{\frac{1}{\pi}\left(\int_{0}^{\pi / 4} \frac{2 V_{m}^{2}}{2}[1-\c","We know, RMS value of full wave rectified sine $=\frac{V_{m}}{\sqrt{2}}=0.707 V_{m}$ For clipped wave form As $0 \rightarrow \frac{\pi}{4}$ and $\frac{3 \pi}{4} \rightarrow \pi$ wave form are identica"
"PYQ","c21a7a26-14d2-4138-ac3d-a99e27ca69d7","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …\times  (\text{","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …\times  (\text{","N \times  (\text{","Here's a step-by-step explanation for the problem:  1.  **Calculate Total File Size:** The user sends a file of $10^3$ bytes (1000 bytes). Bandwidth is $10^6$ bytes/sec, or $8 \times 10^6$ bits/sec.  "
"PYQ","c21a7a26-14d2-4138-ac3d-a99e27ca69d7","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲) + (\text{","}) + (\text{","Here's a step-by-step explanation for the problem:  1.  **Calculate Total File Size:** The user sends a file of $10^3$ bytes (1000 bytes). Bandwidth is $10^6$ bytes/sec, or $8 \times 10^6$ bits/sec.  "
"PYQ","c21a7a26-14d2-4138-ac3d-a99e27ca69d7","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲-1) \times  (\t…","}-1) \times  (\text{","Here's a step-by-step explanation for the problem:  1.  **Calculate Total File Size:** The user sends a file of $10^3$ bytes (1000 bytes). Bandwidth is $10^6$ bytes/sec, or $8 \times 10^6$ bits/sec.  "
"PYQ","c21a7a26-14d2-4138-ac3d-a99e27ca69d7","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲)","})","Here's a step-by-step explanation for the problem:  1.  **Calculate Total File Size:** The user sends a file of $10^3$ bytes (1000 bytes). Bandwidth is $10^6$ bytes/sec, or $8 \times 10^6$ bits/sec.  "
"PYQ","c3197ff9-ed10-4062-972e-d5ea54f88cee","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 15:  \frac{d}{dx} $̲[f(x) e^{-\alph…"," \frac{d}{dx} $[f(x) e^{-\alpha x}]\$ = 3 e^{-\alpha x} ","The problem presents a first-order linear differential equation, which can be rearranged as $f'(x) - \alpha f(x) = 3$. Multiplying both sides by the integrating factor $e^{-\alpha x}$ allows the equat"
